basin,name,calwater22,minstor
2207330003,Grayson Creek,-9999,-9999
2207340100,undefined basin within Mallard Slough,-9999,-9999
2207340200,undefined basin within Dowest Slough,-9999,-9999
2207400100,undefined basin within Browns Island,-9999,-9999
2207400200,undefined basin within Mallard Island,-9999,-9999
3304110101,Waddell Creek,-9999,-9999
3304110102,East Waddell Creek,-9999,-9999
3304110201,Big Creek,-9999,-9999
3304110202,Little Creek,-9999,-9999
3304110203,San Vincente Creek,-9999,-9999
3304110204,Scott Creek,-9999,-9999
3304110301,Majors Creek,-9999,-9999
3304110302,Laguna Creek,-9999,-9999
3304120101,Kings Creek,-9999,-9999
3304120102,Castlerock Falls,-9999,-9999
3304120201,Love Creek,-9999,-9999
3304120202,Lorenzo River,-9999,-9999
3304120203,Boulder Creek,-9999,-9999
3304120300,undefined basin within Bear Creek,-9999,-9999
3304120401,Bean Creek,-9999,-9999
3304120402,Zayante Creek,-9999,-9999
3304120501,Branciforte Creek,-9999,-9999
3304120502,Pasatiempo Creek,-9999,-9999
3304120503,Mouth of San Lorenzo,-9999,-9999
3304120504,Carbonera Creek,-9999,-9999
3304120600,undefined basin within Newell Creek,-9999,-9999
3304130101,Soquel Creek,-9999,-9999
3304130102,Hinckley Creek,-9999,-9999
3304130103,Bates Creek,-9999,-9999
3304130104,Soquel Point,-9999,-9999
3304130105,West Branch Soquel,-9999,-9999
3304130201,Valencia Creek,-9999,-9999
3304130202,Borregas Creek,-9999,-9999
3304130203,Rio Del Mar,-9999,-9999
3304130204,Aptos Creek,-9999,-9999
3304200001,Arroyo de los Frijoles,-9999,-9999
3304200002,Cascade Creek,-9999,-9999
3304200003,Green Oaks Creek,-9999,-9999
3304200004,Gazos Creek,-9999,-9999
3305100101,Browns Creek,-9999,-9999
3305100102,Corralitos Creek,-9999,-9999
3305100200,undefined basin within Soda Lake,-9999,-9999
3305100301,Mouth of Pajaro River,-9999,-9999
3305100302,Hughes Creek,-9999,-9999
3305100303,Corralitos Lagoon,-9999,-9999
3305100400,undefined basin within Coward Creek,-9999,-9999
3305200101,Little Uvas Creek,-9999,-9999
3305200102,Uvas Reservoir,-9999,-9999
3305200103,Llagas Creek,-9999,-9999
3305200104,Chesbro Reservoir,-9999,-9999
3305200105,Uvas Creek,-9999,-9999
3305200201,Outlet Uvas Reservoir,-9999,-9999
3305200202,Arthur Creek,-9999,-9999
3305200301,Pescadero Creek,-9999,-9999
3305200302,Wildcat Canyon,-9999,-9999
3305200303,Blackhawk Canyon,-9999,-9999
3305200401,Sargent Creek,-9999,-9999
3305200402,Flint Hills,-9999,-9999
3305300100,undefined basin within Bodfish Creek,-9999,-9999
3305300200,undefined basin within Santa Clara Valley,-9999,-9999
3305400101,Coon Creek,-9999,-9999
3305400102,Pine Springs Canyon,-9999,-9999
3305400103,Chimney Canyon,-9999,-9999
3305400104,Pacheco Lake,-9999,-9999
3305400105,Mississippi Creek,-9999,-9999
3305400201,Pachecho Pass,-9999,-9999
3305400202,South Fork Pacheco Creek,-9999,-9999
3305400301,Pacheco Creek,-9999,-9999
3305400302,Elephant Head Creek,-9999,-9999
3305400303,Upper Ortega Creek,-9999,-9999
3305400304,San Ysidro Creek,-9999,-9999
